candidate,deck,games,wins,losses,draws,win_rate,ci_low,ci_high,avg_turns,p95_latency,p99_latency,illegal_actions,fallback_rate,rank
Candidate_D_Crustle_Control,D_crustle_control.csv,40,40,0,0,100.0,91.24,100.0,34.2,3.747,5.210,0,0.0,1
Candidate_E_Alakazam_Psychic,E_alakazam_psychic.csv,40,37,3,0,92.5,80.14,97.42,39.5,4.207,6.115,0,0.0,2
Candidate_A_Bellibolt_Baseline,A_bellibolt_baseline.csv,40,35,5,0,87.5,73.89,94.54,44.1,4.550,6.432,0,0.0,3
Candidate_B_Bellibolt_Consistency,B_bellibolt_consistency_4_3_3.csv,40,34,6,0,85.0,70.93,92.94,46.8,5.010,7.120,0,0.0,4
Candidate_C_Anti_Crustle_Tech,C_anti_crustle_tech.csv,40,33,7,0,82.5,68.05,91.25,48.2,4.467,6.890,0,0.0,5
